Distance	Measurement 1	Measurement 2
20.4	, 8720.4	0, 7231.40
20.4	, 8715.2	0, 7235.80
20.4	, 8705.8	0, 7203.40
20.4	, 8706.8	0, 7206.80
20.4	, 8698.2	0, 7199.60
20.4	, 8694.8	0, 7184.20
20.4	, 8689.4	0, 7190.40
20.4	, 8698.2	0, 7179.40
20.4	, 8691.8	0, 7162.40
20.4	, 8683.0	0, 7167.40
20.4	, 8665.6	0, 7153.60
20.4	, 8664.0	0, 7149.80
20.4	, 8662.8	0, 7153.80
20.4	, 8664.0	0, 7145.80
20.4	, 8661.8	0, 7143.40
20.4	, 8649.2	0, 7129.80
20.4	, 8641.6	0, 7122.40
20.4	, 8652.6	0, 7143.40
20.4	, 8655.6	0, 7146.40
20.4	, 8667.2	0, 7148.00
20.4	, 8671.2	0, 7156.00
20.4	, 8686.2	0, 7169.40
20.4	, 8698.8	0, 7181.00
20.4	, 8702.8	0, 7182.00
20.4	, 8715.2	0, 7188.80
20.41	, 8754.4	0, 7205.60
20.46	, 8768.0	0, 7216.20
20.75	, 8758.0	0, 7234.60
20.77	, 8763.2	0, 7255.00
20.99	, 8756.4	0, 7256.60
21.31	, 8763.0	0, 7267.40
21.5	, 8763.2	0, 7282.80
21.86	, 8757.8	0, 7296.60
22.2	, 8784.2	0, 7315.20
22.51	, 8794.6	0, 7343.80
22.99	, 8815.4	0, 7371.00
23.36	, 8840.2	0, 7393.20
23.71	, 8845.4	0, 7396.20
23.99	, 8857.4	0, 7405.60
24.09	, 8867.0	0, 7423.00
24.09	, 8876.0	0, 7435.80
24.09	, 8886.2	0, 7442.60
24.26	, 8903.6	0, 7452.20
24.38	, 8925.6	0, 7471.80
24.38	, 8941.4	0, 7491.20
24.6	, 8926.0	0, 7500.00
24.97	, 8931.8	0, 7503.20
25.24	, 8938.8	0, 7501.00
25.43	, 8950.4	0, 7502.60
25.61	, 8973.4	0, 7509.60
25.72	, 8988.8	0, 7513.80
25.82	, 9001.4	0, 7512.00
26.02	, 9011.0	0, 7503.20
26.4	, 9018.6	0, 7493.80
26.66	, 9021.6	0, 7492.80
26.82	, 9021.0	0, 7495.60
27.07	, 9018.2	0, 7488.60
27.34	, 9011.0	0, 7480.20
27.7	, 9011.4	0, 7481.00
28.04	, 9009.2	0, 7484.20
28.19	, 9006.2	0, 7479.80
28.19	, 9007.0	0, 7474.80
28.4	, 9013.0	0, 7477.20
28.86	, 9019.6	0, 7480.60
29.44	, 9025.6	0, 7484.20
30.05	, 9041.6	0, 7526.80
30.58	, 9066.6	0, 7543.20
30.9	, 9100.6	0, 7594.60
31.2	, 9139.4	0, 7627.20
31.86	, 9208.0	0, 7660.60
32.47	, 9254.2	0, 7697.20
32.54	, 9300.4	0, 7731.60
32.72	, 9354.8	0, 7766.80
33.3	, 9391.2	0, 7805.80
33.62	, 9458.0	0, 7840.20
33.93	, 9523.6	0, 7880.80
34.65	, 9591.0	0, 7937.80
35.18	, 9666.4	0, 7996.80
35.45	, 9732.2	0, 8042.60
35.84	, 9802.6	0, 8093.40
36.11	, 9877.2	0, 8150.00
36.12	, 9948.4	0, 8208.60
36.27	, 10013.	00, 8263.20
36.69	, 10083.	20, 8314.40
37.18	, 10156.	20, 8374.20
37.69	, 10227.	00, 8399.00
37.83	, 10298.	60, 8453.80
37.83	, 10361.	60, 8482.20
38.09	, 10425.	40, 8524.80
38.76	, 10456.	00, 8573.40
38.85	, 10508.	80, 8623.20
38.88	, 10562.	20, 8676.20
39.31	, 10621.	80, 8726.20
40.04	, 10675.	40, 8767.20
40.46	, 10728.	00, 8806.20
40.67	, 10813.	40, 8834.80
41.28	, 10870.	60, 8860.00
41.92	, 10926.	60, 8892.20
43.06	, 10930.	00, 8932.40
43.65	, 10955.	20, 9006.20
43.65	, 10901.	20, 8986.80
43.65	, 10835.	80, 8956.40
43.65	, 10767.	00, 8944.00
43.65	, 10707.	40, 8918.80
43.65	, 10644.	60, 8874.80
43.65	, 10579.	60, 8834.60
43.65	, 10496.	60, 8795.20
43.65	, 10418.	80, 8752.00
43.65	, 10338.	20, 8713.20
43.65	, 10260.	00, 8667.00
43.65	, 10183.	60, 8616.20
43.65	, 10109.	00, 8564.80
43.65	, 10070.	60, 8539.20
43.65	, 9996.6	0, 8506.80
43.65	, 9908.4	0, 8479.60
43.65	, 9753.2	0, 8401.20
43.65	, 9593.6	0, 8315.40
43.65	, 9413.6	0, 8169.20
43.65	, 9286.0	0, 8014.20
43.65	, 9166.0	0, 7832.80
43.65	, 9073.6	0, 7727.20
43.65	, 9010.0	0, 7616.00
43.65	, 8952.2	0, 7511.40
43.65	, 8891.4	0, 7430.60
43.65	, 8834.6	0, 7365.00
43.65	, 8802.0	0, 7297.20
